task,model,prompt,n,accuracy,macro_f1
bias,claude-sonnet-4-6,engineered,199,0.4925,0.3832
bias,claude-sonnet-4-6,simple,198,0.5859,0.4466
bias,gemini-2-5-flash-lite,engineered,200,0.305,0.2199
bias,gemini-2-5-flash-lite,simple,200,0.24,0.1563
bias,gemma-4-31b,engineered,63,0.4127,0.268
bias,gemma-4-31b,simple,200,0.485,0.3286
bias,gpt-5-5,engineered,198,0.4848,0.4136
bias,gpt-5-5,simple,200,0.575,0.4487
bias,kimi-k2-6,simple,200,0.64,0.4428
bias,qwen2-5-vl-72b,engineered,200,0.38,0.2526
bias,qwen2-5-vl-72b,simple,200,0.51,0.3508
factuality,claude-sonnet-4-6,engineered,199,0.7136,0.6556
factuality,claude-sonnet-4-6,simple,198,0.7121,0.6271
factuality,gemini-2-5-flash-lite,engineered,200,0.62,0.3596
factuality,gemini-2-5-flash-lite,simple,200,0.5,0.46
factuality,gemma-4-31b,engineered,4,0.75,0.5
factuality,gemma-4-31b,simple,200,0.565,0.4934
factuality,gpt-5-5,engineered,197,0.7563,0.7057
factuality,gpt-5-5,simple,200,0.8,0.696
factuality,kimi-k2-6,simple,199,0.7688,0.6595
factuality,qwen2-5-vl-72b,engineered,199,0.7136,0.675
factuality,qwen2-5-vl-72b,simple,200,0.64,0.5296
genre,claude-sonnet-4-6,engineered,199,0.2111,0.3733
genre,claude-sonnet-4-6,simple,199,0.2211,0.3849
genre,gemini-2-5-flash-lite,engineered,200,0.11,0.2127
genre,gemini-2-5-flash-lite,simple,200,0.055,0.1481
genre,gemma-4-31b,engineered,39,0.0769,0.1693
genre,gemma-4-31b,simple,200,0.12,0.2658
genre,gpt-5-5,engineered,198,0.2475,0.4394
genre,gpt-5-5,simple,200,0.24,0.4184
genre,kimi-k2-6,simple,198,0.2576,0.435
genre,qwen2-5-vl-72b,engineered,199,0.2412,0.4319
genre,qwen2-5-vl-72b,simple,200,0.23,0.3394
