source,model,prompt,mse,rmse,mae,n
mixed_results_factuality,claude-sonnet-4-6,engineered,0.7688,0.8768,0.6181,199
mixed_results_factuality,claude-sonnet-4-6,simple,0.5879,0.7668,0.4673,199
mixed_results_factuality,gemini-2-5-flash-lite,engineered,1.5226,1.2339,1.0101,199
mixed_results_factuality,gemini-2-5-flash-lite,simple,0.8141,0.9023,0.6432,199
mixed_results_factuality,gemma-4-31b,engineered,1.4623,1.2093,0.8894,199
mixed_results_factuality,gemma-4-31b,simple,1.1809,1.0867,0.7487,199
mixed_results_factuality,gpt-5-5,engineered,0.4925,0.7018,0.4724,199
mixed_results_factuality,gpt-5-5,simple,0.3668,0.6057,0.3367,199
mixed_results_factuality,kimi-k2-6,engineered,1.5127,1.2299,0.9442,197
mixed_results_factuality,kimi-k2-6,simple,0.5482,0.7404,0.4467,197
mixed_results_factuality,qwen2-5-vl-72b,engineered,0.7424,0.8616,0.6111,198
mixed_results_factuality,qwen2-5-vl-72b,simple,0.6935,0.8327,0.5729,199
mixed_results_joint,claude-sonnet-4-6,engineered,0.5628,0.7502,0.4724,199
mixed_results_joint,claude-sonnet-4-6,simple,0.598,0.7733,0.5075,199
mixed_results_joint,gemini-2-5-flash-lite,engineered,0.9045,0.9511,0.7035,199
mixed_results_joint,gemini-2-5-flash-lite,simple,0.8342,0.9133,0.6633,199
mixed_results_joint,gemma-4-31b,engineered,1.6533,1.2858,0.8995,199
mixed_results_joint,gemma-4-31b,simple,1.2211,1.105,0.7588,199
mixed_results_joint,gpt-5-5,engineered,0.5477,0.7401,0.4372,199
mixed_results_joint,gpt-5-5,simple,0.5025,0.7089,0.4724,199
mixed_results_joint,kimi-k2-6,engineered,1.6359,1.279,0.8641,184
mixed_results_joint,kimi-k2-6,simple,0.4942,0.703,0.4593,172
mixed_results_joint,qwen2-5-vl-72b,engineered,0.6583,0.8114,0.5779,199
mixed_results_joint,qwen2-5-vl-72b,simple,0.7035,0.8388,0.6432,199
