filename,url,issue,timestamp
Above Top Secret,https://abovetopsecret.com,"Blank — pure white, nothing rendered",
Africa Check,https://africacheck.org,Bot check — Cloudflare Verify you are human,
America Magazine,https://americamagazine.org,Bot check — wp.com Checking your browser,
Anonymous Wire,https://anonymouswire.com,Account suspended,
Anthropocene Magazine,https://anthropocenemagazine.org,403 Forbidden (Cloudflare),
Arkansas Democrat-Gazette,https://arkansasonline.com,Bot check — Cloudflare Verify you are human,
Americans United for Separation of Church and State,https://au.org,403 Forbidden (Cloudflare),
The Austin Chronicle,https://austinchronicle.com,Bot check — wp.com Checking your browser,
Bangor Daily News,https://bangordailynews.com,Bot check — wp.com Checking your browser,
BerkeleySide,https://berkeleyside.org,Bot check — wp.com Checking your browser,
Better Government Association,https://bettergov.org,Bot check — wp.com Checking your browser,
Boy Genius Report,https://bgr.com,Too large to analyze,
Big League Politics,https://bigleaguepolitics.com,"Blank — pure white, nothing rendered",
Bipartisan Report,https://bipartisanreport.com,Cloudflare — Web server is down (521),
Bismarck Tribune,https://bismarcktribune.com,Bot detected — Challenge failed: Bot detected,
Borgen Magazine,https://borgenmagazine.com,403 Forbidden (Cloudflare),
Brampton Guardian,https://bramptonguardian.com,Bot detected — Challenge failed: Bot detected,
Breaking Defense,https://breakingdefense.com,403 Forbidden (nginx),
C-Span,https://c-span.org,Human verification — Let's confirm you are human,
Central Florida Post,https://centralfloridapost.com,403 Forbidden (Cloudflare),
Chicago Reporter,https://chicagoreporter.com,Bot check — wp.com Checking your browser,
Christian Action Network,https://christianaction.org,403 Forbidden (Cloudflare),
Clash Daily,https://clashdaily.com,Bot check — Cloudflare Verify you are human,
Concord Monitor,https://concordmonitor.com,Bot check — wp.com Checking your browser,
Congress.gov,https://congress.gov,Bot check — Cloudflare Verify you are human,
Conservative Firing Line,https://conservativefiringline.com,Bot check — Cloudflare Verify you are human,
Cook Political Reports,https://cookpolitical.com,Bot check — Cloudflare Verify you are human,
Daily Mail,https://dailymail.co.uk,Access denied (CDN),
Defense One,https://defenseone.com,Too large to analyze,
Defiant America,https://defiantamerica.com,"Cloudflare — Sorry, you have been blocked",
Economics.Help,https://economicshelp.org,403 Forbidden (Cloudflare),
Activist Mommy/Elizabeth Johnston,https://elizabethjohnston.org,403 Forbidden (Cloudflare),
Fairness and Accuracy in Reporting,https://fair.org,403 Forbidden (nginx),
Fair360,https://fair360.com,403 Forbidden (nginx),
Finextra,https://finextra.com,Bot check — Cloudflare Verify you are human,
The Gay Center,https://gaycenter.org,403 Forbidden (nginx),
Colorado Springs Gazette,https://gazette.com,"Cloudflare — Sorry, you have been blocked",
Gothamist,https://gothamist.com,Bot check — Cloudflare Verify you are human,
Great Awakening,https://greatawakening.win,"Cloudflare — Sorry, you have been blocked",
IndustryWeek,https://industryweek.com,Bot check — Cloudflare Verify you are human,
Institute for New Economic Thinking,https://ineteconomics.org,Bot check — Cloudflare Verify you are human,
InsideNoVA,https://insidenova.com,Bot detected — Challenge failed: Bot detected,
Inside Philanthropy,https://insidephilanthropy.com,403 Forbidden (Cloudflare),
Jacksonville Daily News,https://jdnews.com,Bot detected — Challenge failed: Bot detected,
Joplin Globe,https://joplinglobe.com,Bot detected — Challenge failed: Bot detected,
Kunstler.com,https://kunstler.com,Subscription popup only (Substack),
Loudoun Times-Mirror,https://loudountimes.com,Bot detected — Challenge failed: Bot detected,
Mississippi Free Press,https://mississippifreepress.org,Bot detected — Challenge failed: Bot detected,
Rensselaer Republican,https://newsbug.info/rensselaer_republican/,Bot detected — Challenge failed: Bot detected,
Pike County News Watchman,https://newswatchman.com,Bot detected — Challenge failed: Bot detected,
Walker County Messenger,https://northwestgeorgianews.com/catoosa_walker_news/,Bot detected — Challenge failed: Bot detected,
Polk County Standard-Journal,https://northwestgeorgianews.com/polk_standard_journal/,Bot detected — Challenge failed: Bot detected,
KNWO - NPR - Cottonwood,https://nwpb.org,Bot check — Cloudflare Verify you are human,
OnTheWight,https://onthewight.com,Bot check — Cloudflare Verify you are human,
Lebanon Enterprise,https://pmg-ky2.com/lebanon/,Bot detected — Challenge failed: Bot detected,
Popular Information,https://popular.info,Subscription popup only (Substack),
Poynter Institute,https://poynter.org,Bot check — Cloudflare Verify you are human,
Center for Media and Democracy,https://prwatch.org,Bot check — Cloudflare Verify you are human,
Quad City Times,https://qctimes.com,Bot detected — Challenge failed: Bot detected,
Queerty,https://queerty.com,Bot check — Cloudflare Verify you are human,
RealClearPolling,https://realclearpolling.com,Bot check — Cloudflare Verify you are human,
Salem News,https://salemnews.com,Bot detected — Challenge failed: Bot detected,
San Diego Reader,https://sandiegoreader.com,Bot check — Cloudflare Verify you are human,
Santa Maria Times,https://santamariatimes.com,Bot detected — Challenge failed: Bot detected,
Sciencing,https://sciencing.com,Too large to analyze,
Seattle Times,https://seattletimes.com,Bot check — Max challenge attempts exceeded,
2nd Amendment Daily News,https://secondamendmentdaily.com,Cloudflare — Invalid SSL certificate (526),
Sharon Herald,https://sharonherald.com,Bot detected — Challenge failed: Bot detected,
Stillwater County News,https://stillwatercountynews.com,Bot detected — Challenge failed: Bot detected,
Stilwell Democrat,https://stilwelldemocrat.com,Bot detected — Challenge failed: Bot detected,
Stillwater News Press,https://stwnewspress.com,Bot detected — Challenge failed: Bot detected,
Tax Policy Center,https://taxpolicycenter.org,"Cloudflare — Sorry, you have been blocked",
Texas Tribune,https://texastribune.org,Bot check — wp.com Checking your browser,
Baton Rouge Advocate,https://theadvocate.com,Bot detected — Challenge failed: Bot detected,
The City,https://thecity.nyc,Bot check — wp.com Checking your browser,
The Stokes News,https://thestokesnews.com,Bot detected — Challenge failed: Bot detected,
Chattanooga Times Free Press,https://timesfreepress.com,Bot check — Cloudflare Verify you are human,
Vaccine Safety Research Foundation,https://vacsafety.org,403 Forbidden (Cloudflare),
Vigilant News,https://vigilantnews.com,Cloudflare — Invalid SSL certificate (526),
WABE - NPR - Atlanta,https://wabe.org,Bot check — Cloudflare Verify you are human,
Washington Times-Herald,https://washtimesherald.com,Bot detected — Challenge failed: Bot detected,
Conservative Tribune,https://westernjournal.com/commentary,Bot check — Cloudflare Verify you are human,
Al.com,https://www.al.com,Bot check — Cloudflare Verify you are human,
Congressional Budget Office,https://www.cbo.gov/,Bot check — Cloudflare Verify you are human,
Yadkin Ripple,https://yadkinripple.com,Bot detected — Challenge failed: Bot detected,
Newzoh,https://newzoh.com,DNS failure — domain does not exist,
Sputnik News Agency - India,https://Sputniknews.in,DNS failure — domain does not exist,
Denver Westword,https://westword.com,Page load timeout,2026-06-04 00:15:55
Yahoo News,https://news.yahoo.com,Page load timeout,2026-06-04 00:02:16
Isle of Wight County Press,https://countypress.co.uk,Page load timeout,
Savannah Morning News,https://savannahnow.com,Page load timeout,2026-06-04 00:08:34
Just One Focus,https://justonefocus.org,DNS failure — domain does not exist,
Keighley News,https://keighleynews.co.uk,Page load timeout,2026-06-03 23:56:01
Huntsville Item,https://itemonline.com,Page load timeout,2026-06-03 23:55:20
National Law Review,https://natlawreview.com,Page load timeout,
Regina Leader-Post,https://leaderpost.com,Page load timeout,2026-06-03 23:57:21
Tellico Village Connection,https://tellicovillageconnection.com,Capture error,2026-06-04 00:11:45
NoTricksZone,https://notrickszone.com,Page load timeout,2026-06-04 00:03:53
Thompson Citizen,https://thompsoncitizen.net,DNS failure — domain does not exist,
The Washington Spectator,https://washingtonspectator.org,Page load timeout,2026-06-04 00:13:56
