feature,meaning,extraction_difficulty
s008_neutral_headlines__present,Headlines are neutral and descriptive,medium
s076_conspiracy_tropes__present,Conspiracy-style tropes are visible,medium_to_hard
s010_scare_quotes__present,Headlines or labels use scare quotes around terms,easy
s072_loaded_category_tags__present,Navigation/category/tag text uses loaded wording,easy_to_medium
s066_cluttered_blog_look__present,Homepage has a cluttered low-grade blog layout,medium
s004_sensational_verbs__present,Headlines use sensational verbs such as slams or destroys,easy_to_medium
s078_absolutist_framing__present,Text uses absolutist framing,medium_to_hard
s082_ideological_mission__present,Visible mission or branding reveals an ideological agenda,medium
s060_templated_imagery__present,Images look repeated stock-like or template-like,medium
s023_no_owner_identified__present,No visible owner or publisher identity,easy_to_medium
s047_no_sourcing__present,Visible claims lack source attribution,medium_to_hard
s067_alarmist_colors__present,Design uses alarmist colors or visual emphasis,medium
s085_standard_sections__present,Normal news sections such as News Sports Business Opinion Local or Weather are visible,easy
s097_suspicious_url__present,Domain or URL looks suspicious or imitative,easy
