model,prompt,problematic_genre_n,genre_vs_fact_agree,other_genre_n,other_vs_fact_agree
claude-sonnet-4-6,engineered,63,1.0,136,0.75
claude-sonnet-4-6,simple,62,1.0,137,0.7372
gemini-2-5-flash-lite,engineered,30,1.0,167,0.5749
gemini-2-5-flash-lite,simple,6,1.0,194,0.6237
gemma-4-31b,engineered,34,1.0,166,0.7711
gemma-4-31b,simple,32,1.0,167,0.7066
gpt-5-5,engineered,70,1.0,130,0.8077
gpt-5-5,simple,73,1.0,127,0.8031
kimi-k2-6,engineered,1,1.0,3,1.0
kimi-k2-6,simple,62,1.0,137,0.7372
qwen2-5-vl-72b,engineered,64,1.0,136,0.7647
qwen2-5-vl-72b,simple,62,1.0,138,0.7029
