task,family,model,experiment,components,n_test,accuracy,macro_accuracy,macro_precision,macro_recall,macro_f1,mae,mse,label_mapping,source_file
bias,OCR multimodal,majority,Majority class,predicts the majority train class for every row,555,39.81981981981982,20.0,7.963963963963963,20.0,11.391752577319588,0.8774774774774775,1.5657657657657658,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,full,Full,51 features + OCR expert + DINO knn15,555,78.01801801801803,74.2382253860849,70.66068321243955,74.2382253860849,71.10521016839216,0.4342342342342342,1.1441441441441442,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,no_ocr,Removed OCR,51 features + DINO knn15,555,69.90990990990991,62.50419748957168,63.719217160612,62.50419748957168,61.63335638811276,0.745945945945946,2.263063063063063,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,no_features,Removed 51 features,OCR expert + DINO knn15,555,78.55855855855856,74.19324335839762,70.8710173498906,74.19324335839764,71.4137074570134,0.4234234234234234,1.1261261261261262,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,ocr_only,Only OCR,OCR expert only,555,78.91891891891892,74.66187438430418,71.06312494852153,74.66187438430418,71.74885946924874,0.4144144144144144,1.1063063063063063,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,dino_only,Only DINOv2,DINO knn15 only,555,62.16216216216216,51.1143335441403,52.24805267344722,51.11433354414031,51.23996051690061,0.8738738738738738,2.5207207207207207,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR multimodal,features_only,Only 51 features,51 compact features only,555,70.45045045045045,64.73620808455867,65.05651432233398,64.73620808455868,62.93803538778272,0.69009009009009,2.045045045045045,left=-2; left-center=-1; center=0; right-center=1; right=2,multimodal_bias_metrics.csv
bias,OCR text-only,text_only_llm,Text-only LLM,fine-tuned distilbert-base-uncased on OCR text (max_len=512); text_only_llm_model_input_dedup_v1,555,74.05405405405405,67.88359144887382,65.74972374262778,67.88359144887383,66.07588047830285,0.5495495495495496,1.526126126126126,left=-2; left-center=-1; center=0; right-center=1; right=2,text_only_llm_bias_metrics.csv
bias,Group A/C,majority,Majority class,predicts the majority svm_train class,555,39.81981981981982,20.0,7.963963963963963,20.0,11.391752577319588,0.8774774774774775,1.5657657657657658,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,nela,Articles: NELA,"SVM(rbf) on nela [87d], cv_f1=0.527, gamma=1, C=10",555,68.10810810810811,56.22975649771848,59.4407547911213,56.22975649771848,57.458843150863736,0.6216216216216216,1.544144144144144,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,bert_repr,Articles: BERT representations,"SVM(rbf) on bert_repr [768d], cv_f1=0.625, gamma=0.1, C=1e+02",555,75.13513513513513,66.11068840790202,68.82747791093907,66.11068840790203,67.22178493297305,0.4234234234234234,0.9351351351351352,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,bert_prob,Articles: BERT probabilities,"SVM(rbf) on bert_prob [5d], cv_f1=0.620, gamma=1, C=1",555,72.25225225225225,59.35283993573734,66.67848529373795,59.352839935737336,61.29925594131629,0.5369369369369369,1.3225225225225226,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,all_concat,Articles: ALL (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob [860d], cv_f1=0.630",555,74.95495495495496,62.730589755677826,67.42331307999396,62.73058975567783,64.33426441101895,0.4792792792792792,1.1963963963963964,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,all_ensemble,Articles: ALL (en),"posterior ensemble of nela+bert_repr+bert_prob, weights=CV macro-F1",555,75.49549549549549,63.32263625335046,71.09636873238914,63.322636253350474,65.44283413848632,0.4702702702702703,1.1585585585585585,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,wiki,Wikipedia: BERT,"SVM(rbf) on wiki [768d], cv_f1=0.375, gamma=0.1, C=10",555,50.27027027027027,36.28548327363316,50.0242026035516,36.285483273633155,36.043127178533894,0.7009009009009008,1.2702702702702702,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,articles_wiki_concat,Articles+Wikipedia (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob+wiki [1628d], cv_f1=0.647",555,75.13513513513513,64.68085567135422,64.9805932629462,64.68085567135424,64.79338761702462,0.4288288288288288,0.9765765765765766,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
bias,Group A/C,articles_wiki_ensemble,Articles+Wikipedia (en),"posterior ensemble of nela+bert_repr+bert_prob+wiki, weights=CV macro-F1",555,75.49549549549549,63.62421801132167,71.85325431090813,63.62421801132167,65.96686240030913,0.4558558558558558,1.1045045045045043,left=-2; left-center=-1; center=0; right-center=1; right=2,mgm_groupA_bias.csv
